Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Assembly	Making sense of a newly assembled genome	https://training.galaxyproject.org//topics/assembly/tutorials/ecoli_comparison/tutorial.html	Sequence assembly, Genomics, Microbiology	Read mapping, Sequence visualisation, Genome visualisation, Sequence alignment, Mapping	2018-06-14	2026-04-13	30	True	False	False	True	bedtools_complementbed, lastz_wrapper_2, tp_sed_tool, Grep1, collapse_dataset, cat1, Filter1, datamash_ops, jbrowse, circos_interval_to_tiles, addValue, random_lines1, bedtools_sortbed, tp_cat, tp_grep_tool, circos_aln_to_links, mergeCols1, tp_replace_in_column, bedtools_intersectbed, upload1, Cut1, tp_replace_in_line, tp_sort_header_tool, fasta_compute_length, fasta_filter_by_length, join1, circos			0		7072	13379	8.183333333333334	0
Assembly	Genome Assembly of MRSA from Oxford Nanopore MinION data (and optionally Illumina data)	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-nanopore/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology, Antimicrobial resistance	De-novo assembly, Sequence composition calculation, Sequence assembly visualisation, Statistical calculation, Cross-assembly, Scatter plot plotting, Box-Whisker plot plotting, Sequence assembly validation, Filtering, Sequencing quality control, Visualisation, Read mapping, Sequence contamination filtering, Sequencing error detection, Sequence alignment, Mapping assembly, Genome assembly	2021-03-24	2026-01-05	16	True	False	False	True	flye, upload1, bandage_image, __FLATTEN__, CONVERTER_bz2_to_uncompressed, fastqc, filtlong, nanoplot, bwa_mem2, __EXTRACT_DATASET__, polypolish, porechop, quast, fastp	UseGalaxy.be, UseGalaxy.eu	GalaxyTrakr, UseGalaxy.cz, UseGalaxy.fr	0		11885	17648	7.683333333333334	0
Assembly	Genome Assembly of a bacterial genome (MRSA) sequenced using Illumina MiSeq Data	https://training.galaxyproject.org//topics/assembly/tutorials/mrsa-illumina/tutorial.html	Sequence assembly, Whole genome sequencing, Public health and epidemiology, Genomics, Microbiology	Read mapping, Sequence assembly visualisation, Genome assembly, Sequence assembly validation, Sequence contamination filtering, Visualisation, Sequencing quality control	2021-03-24	2026-01-05	18	True	False	True	True	bandage_info, upload1, bandage_image, falco, shovill, quast, fastp	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	GalaxyTrakr	0		12169	18416	9.516666666666667	0
Assembly	Unicycler Assembly	https://training.galaxyproject.org//topics/assembly/tutorials/unicycler-assembly/tutorial.html	Sequence assembly, Genomics, Microbiology	Sequence composition calculation, Validation, Statistical calculation, Coding region prediction, Gene prediction, Genome annotation, Sequence assembly validation, Visualisation, Sequencing quality control, Aggregation, Genome assembly	2017-10-11	2026-01-23	25	True	True	False	True	prokka, fastqc, multiqc, quast, unicycler	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		4021761	9406636	7.066666666666666	0
Assembly	Assembly of metagenomic sequencing data	https://training.galaxyproject.org//topics/assembly/tutorials/metagenomics-assembly/tutorial.html	Metagenomics, Sequence assembly	Sequence composition calculation, Sequence assembly visualisation, Sequence file editing, Variant calling, Formatting, Sequencing quality control, Read pre-processing, Read mapping, Sequence alignment analysis, Sequence trimming, Primer removal, Statistical calculation, Data handling, Sequence assembly validation, Sequence contamination filtering, Visualisation, Local alignment, Genome assembly	2026-08-02	2026-08-02	0	True	False	True	True	bg_uniq, tp_cat, bandage_info, filter_tabular, bandage_image, bowtie2, fastqc, coverm_contig, quast, collection_column_join, megahit_contig2fastg, seqtk_subseq, cutadapt, megahit, random_lines1, bamtools, metaspades, ngsutils_bam_filter		UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	0		1	1	0.0	0
Ecology	Checking expected species and contamination in bacterial isolate	https://training.galaxyproject.org//topics/ecology/tutorials/bacterial-isolate-species-contamination-checking/tutorial.html	Whole genome sequencing, Genomics, Microbiology, Microbial ecology	Expression analysis, Taxonomic classification, Statistical calculation, Cross-assembly	2024-03-04	2026-04-08	6	True	False	False	True	est_abundance, upload1, kraken2, recentrifuge	UseGalaxy.eu, UseGalaxy.fr	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.org (Main)	0		1096	1453	8.666666666666666	0
Evolution	Identifying tuberculosis transmission links: from SNPs to transmission clusters	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_transmission/tutorial.html	Genomics, Microbiology, Infectious disease, DNA polymorphism	Antimicrobial resistance prediction, Phylogenetic tree generation, Phylogenetic tree visualisation, Variant calling	2022-03-16	2025-05-26	13	True	False	False	True	addName, tp_easyjoin_tool, samtools_view, tp_sed_tool, tb_variant_filter, snippy, collapse_dataset, Grep1, trimmomatic, snp_dists, tp_cat, tp_grep_tool, clustering_from_distmat, bcftools_consensus, upload1, snp_sites, tp_replace_in_line, tb_profiler_profile, __MERGE_COLLECTION__	UseGalaxy.eu		0		3833	5453	7.75	0
Evolution	Tree thinking for tuberculosis evolution and epidemiology	https://training.galaxyproject.org//topics/evolution/tutorials/mtb_phylogeny/tutorial.html	Genomics, Microbiology, Phylogeny, Infectious disease	Sequence analysis, Phylogenetic tree analysis	2022-03-16	2025-06-04	12	True	False	False	True	interactive_tool_rstudio, upload1, raxml	UseGalaxy.eu		0		2703	3814	8.15	0
Evolution	Phylogenetic analysis for bacterial comparative genomics	https://training.galaxyproject.org//topics/evolution/tutorials/bacterial-comparative-genomics/tutorial.html	Genomics, Microbiology, Phylogeny		2025-03-14	2025-03-14	1	True	False	False	False	fasttree, upload1	Galaxy@AuBi, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	GalaxyTrakr	0		235	279	13.066666666666666	0
Genome Annotation	Genome annotation with Prokka	https://training.galaxyproject.org//topics/genome-annotation/tutorials/annotation-with-prokka/tutorial.html	Genomics, Microbiology, Gene and protein families, Sequence analysis	Coding region prediction, Gene prediction, Genome visualisation, Genome annotation	2018-03-06	2026-01-23	27	True	True	True	True	prokka, jbrowse	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		4028003	9416919	7.15	0
