Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Single Cell	Analysis of plant scRNA-Seq Data with Scanpy	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-plant/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2021-04-08	2026-06-25	8	True	False	True	True	scanpy_cluster_reduce_dimension, scanpy_plot, scanpy_inspect, anndata_import, scanpy_remove_confounders, anndata_manipulate, scanpy_normalize, scanpy_filter	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		3264	4057	6.15	0
Proteomics	Multiomics data analysis using MultiGSEA	https://training.galaxyproject.org//topics/proteomics/tutorials/multiGSEA-tutorial/tutorial.html		Aggregation, Pathway analysis, Gene-set enrichment analysis	2025-03-10	2025-03-11	2	True	False	False	True	Filter1, multigsea, tp_grep_tool	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz	0		637	715	5.133333333333334	0
Single Cell	GO Enrichment Analysis on Single-Cell RNA-Seq Data	https://training.galaxyproject.org//topics/single-cell/tutorials/GO-enrichment/tutorial.html		Gene-set enrichment analysis	2024-09-17	2026-06-25	9	True	True	False	True	gprofiler_gost, tp_split_on_column, goenrichment, Cut1	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.no, UseGalaxy.org (Main)		0		1914126	3558171	5.7	0
Single Cell	Pre-processing of 10X Single-Cell RNA Datasets	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-preprocessing-tenx/tutorial.html		Community profiling, Validation, Loading, Sequence alignment, Sequencing quality control	2019-09-11	2025-04-29	13	True	False	True	True	multiqc, rna_starsolo, dropletutils	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.fr, UseGalaxy.no	0		14435	18667	5.783333333333333	0
Single Cell	Pre-processing of 10X Single-Cell ATAC-seq Datasets	https://training.galaxyproject.org//topics/single-cell/tutorials/scatac-preprocessing-tenx/tutorial.html		Enrichment analysis, Genome indexing, Sequence composition calculation, Peak calling, Statistical calculation, Expression profile clustering, Visualisation, Sequencing quality control, Mapping, Read mapping, Imputation, Differential gene expression analysis, Gene regulatory network analysis, Generation, Sequence alignment, Principal component visualisation	2023-04-24	2025-10-16	10	True	False	False	True	episcanpy_preprocess, scanpy_plot, bwa_mem, fastqc, anndata_inspect, tp_sorted_uniq, falco, episcanpy_build_matrix, sinto_fragments, macs2_callpeak, sinto_barcode, bedtools_sortbed	UseGalaxy.org.au, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.cz	0		6741	7941	2.433333333333333	0
Single Cell	Bulk RNA Deconvolution with MuSiC	https://training.galaxyproject.org//topics/single-cell/tutorials/bulk-music/tutorial.html			2022-02-11	2026-06-25	11	True	False	True	True	music_inspect_eset, music_deconvolution, music_construct_eset	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)		0		4639	5767	4.016666666666667	0
Single Cell	Pseudobulk Analysis with Decoupler and EdgeR	https://training.galaxyproject.org//topics/single-cell/tutorials/pseudobulk-analysis/tutorial.html		Differential gene expression analysis, Expression profile clustering, Principal component visualisation	2025-02-12	2025-05-09	8	True	False	True	True	tp_awk_tool, column_remove_by_header, tp_replace_in_line, decoupler_pseudobulk, anndata_inspect, anndata_manipulate, scanpy_filter, __EXTRACT_DATASET__, edger, tp_replace_in_column, volcanoplot	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	UseGalaxy.cz	0		2516	2850	2.85	0
Single Cell	Generating a single cell matrix using Alevin	https://training.galaxyproject.org//topics/single-cell/tutorials/scrna-case_alevin/tutorial.html		RNA-Seq quantification, Sequence composition calculation, Gene expression analysis	2021-03-03	2025-11-18	25	True	False	True	True	_ensembl_gtf2gene_list, _salmon_kallisto_mtx_to_10x, alevin, Cut1, dropletutils_read_10x, _dropletBarcodePlot, anndata_manipulate, anndata_inspect, dropletutils_empty_drops, join1, sceasy_convert	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)		0		3956	5954	10.966666666666667	0
Single Cell	Generating a single cell matrix using Alevin and combining datasets (bash + R)	https://training.galaxyproject.org//topics/single-cell/tutorials/alevin-commandline/tutorial.html			2023-12-08	2025-04-22	5	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		796	1050	9.933333333333334	0
Single Cell	Single-cell ATAC-seq standard processing with SnapATAC2	https://training.galaxyproject.org//topics/single-cell/tutorials/scatac-standard-processing-snapatac2/tutorial.html		Genome indexing, Expression profile clustering, Dimensionality reduction, Gene expression profiling, Read mapping, Differential gene expression analysis, Generation, Sequence alignment, Principal component visualisation, Essential dynamics	2024-07-11	2025-07-02	5	True	False	False	True	snapatac2_plotting, Cut1, scanpy_inspect, bwa_mem, scanpy_plot, fasta_compute_length, anndata_manipulate, anndata_inspect, scanpy_normalize, snapatac2_preprocessing, replace_column_with_key_value_file, anndata_ops, scanpy_filter, snapatac2_clustering, snapatac2_peaks_and_motif			0		2301	2692	3.066666666666667	0
