Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
Computational chemistry	Protein-ligand docking	https://training.galaxyproject.org//topics/computational-chemistry/tutorials/cheminformatics/tutorial.html			2019-10-19	2026-07-23	18	True	False	False	True	openbabel_svg_depiction, ctb_remDuplicates, ctb_obgrep, collapse_dataset, chembl, ctb_chemfp_butina_clustering, ctb_chemfp_mol2fps, prepare_box, ctb_filter, ctb_compound_convert, sdf_to_tab, tp_cat, fpocket, tp_grep_tool, ctb_chemfp_nxn_clustering, openbabel_compound_convert, ctb_remIons, ctb_np-likeness-calculator, tp_find_and_replace, ctb_online_data_fetch, prepare_receptor, get_pdb, docking, ctb_change_title		UseGalaxy.org (Main)	0		21449	35867	3.2333333333333334	0
Computational chemistry	Data management in Medicinal Chemistry	https://training.galaxyproject.org//topics/computational-chemistry/tutorials/med-chem-data/tutorial.html			2024-01-08	2024-09-13	4	True	False	True	True	openbabel_svg_depiction, chembl, ctb_im_rxn_maker, get_pdb, openbabel_compound_convert, ctb_silicos_qed, md_converter	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.no	0		657	772	9.583333333333334	0
Contributing to the Galaxy Training Material	FAIR Galaxy Training Material	https://training.galaxyproject.org//topics/contributing/tutorials/fair-gtn/tutorial.html			2026-08-02	2026-08-02	0	True	False	False	False				0		0	0	0.0	0
Using Galaxy and Managing your Data	Automating Galaxy workflows using the command line	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-automation/tutorial.html		Read mapping, Variant classification, Validation, Tree-based sequence alignment, Sequence contamination filtering, Visualisation, Sequencing quality control	2021-06-08	2025-12-18	11	True	False	True	True	bcftools_consensus, collapse_dataset, falco, multiqc, compose_text_param, snpSift_filter, pangolin, fastp	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	GalaxyTrakr, UseGalaxy.cz, UseGalaxy.fr	0		3270	4065	8.633333333333333	0
Foundations of Data Science	Data Manipulation Olympics	https://training.galaxyproject.org//topics/data-science/tutorials/data-manipulation-olympics/tutorial.html			2026-08-02	2026-08-02	0	True	False	False	True	Count1, {{version_cut_columns}}, Grouping1, {{version_paste}}, Remove beginning1, regexColumn1, {{version_compute}}, {{version_replace_text_column}}, {{version_datamash}}, {{version_replace_text_line}}, {{version_sort}}, {{version_unique}}, {{version_count}}, cat1, Show beginning1, Filter1, datamash_ops, tabular_to_csv, tp_split_on_column, {{version_join}}, {{version_select_first}}, wc_gnu, {{version_wc}}, {{version_remove_beginning}}, tp_cat, {{version_cat}}, upload1, Cut1, {{version_split}}, tp_sort_header_tool, tp_sorted_uniq, {{version_cut_advanced}}, Add_a_column1, {{version_remove_columns_by_header}}, join1, {{version_filter}}			0		2	2	0.0	0
FAIR Data, Workflows, and Research	Data management in Medicinal Chemistry	https://training.galaxyproject.org//topics/fair/tutorials/med-chem-data/tutorial.html			2026-08-02	2026-08-02	0	True	False	True	True	openbabel_svg_depiction, chembl, ctb_im_rxn_maker, get_pdb, openbabel_compound_convert, ctb_silicos_qed, md_converter	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.no	0		0	0	0.0	0
FAIR Data, Workflows, and Research	Making clinical datasets FAIR	https://training.galaxyproject.org//topics/fair/tutorials/fair-clinical/tutorial.html			2023-10-24	2024-09-13	5	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		447	560	8.966666666666667	0
FAIR Data, Workflows, and Research	FAIR and its Origins	https://training.galaxyproject.org//topics/fair/tutorials/fair-origin/tutorial.html			2024-03-26	2024-03-27	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		238	264	7.283333333333333	0
FAIR Data, Workflows, and Research	Introduction to Data Management Plan (DMP) for Peatland Research and PeatDataHub	https://training.galaxyproject.org//topics/fair/tutorials/data-management-peatlands/tutorial.html			2024-09-13	2024-09-13	1	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		157	191	5.983333333333333	0
FAIR Data, Workflows, and Research	FAIR in a nutshell	https://training.galaxyproject.org//topics/fair/tutorials/fair-intro/tutorial.html			2023-05-30	2024-04-30	6	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		1112	1389	7.95	0
FAIR Data, Workflows, and Research	Integrating InvenioRDM-compatible Repositories with Galaxy	https://training.galaxyproject.org//topics/fair/tutorials/inveniordm-integration/tutorial.html			2025-11-06	2025-11-06	1	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		104	111	7.133333333333334	0
FAIR Data, Workflows, and Research	Uploading Data to Zenodo from Galaxy	https://training.galaxyproject.org//topics/fair/tutorials/zenodo-in-galaxy/tutorial.html			2025-11-06	2025-11-06	1	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		137	143	15.15	0
FAIR Data, Workflows, and Research	DataPLANT ARCs	https://training.galaxyproject.org//topics/fair/tutorials/dataplant-arcs/tutorial.html			2024-10-22	2025-09-17	4	True	True	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		1849676	3379709	6.95	0
FAIR Data, Workflows, and Research	Metadata	https://training.galaxyproject.org//topics/fair/tutorials/fair-metadata/tutorial.html			2024-03-26	2024-03-27	2	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		330	377	6.283333333333333	0
FAIR Data, Workflows, and Research	Exporting Workflow Run RO-Crates from Galaxy	https://training.galaxyproject.org//topics/fair/tutorials/ro-crate-in-galaxy/tutorial.html			2023-05-11	2024-08-26	8	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		382	456	12.083333333333334	0
FAIR Data, Workflows, and Research	FAIR data management solutions	https://training.galaxyproject.org//topics/fair/tutorials/data-management/tutorial.html			2023-05-30	2025-01-16	5	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		487	581	9.316666666666666	0
